taxonID,parentTaxonID,scientificName
Phaeosphaeriaceae_sp,unidentified,Phaeosphaeriaceae_sp
SH183027.07FU,Phaeosphaeriaceae_sp,SH183027.07FU
SH023331.07FU,Chaetothyriales_sp,SH023331.07FU
unidentified,Atheliaceae,unidentified
Atheliaceae_sp,unidentified,Atheliaceae_sp
SH196825.07FU,Atheliaceae_sp,SH196825.07FU
Inocybe_napipes,Inocybe,Inocybe_napipes
SH196058.07FU,Inocybe_napipes,SH196058.07FU
Sordariales,Sordariomycetes,Sordariales
Chaetomiaceae,Sordariales,Chaetomiaceae
Trichocladium,Chaetomiaceae,Trichocladium
Trichocladium_opacum,Trichocladium,Trichocladium_opacum
SH198656.07FU,Trichocladium_opacum,SH198656.07FU
Lophiostomataceae,Pleosporales,Lophiostomataceae
Lophiostoma,Lophiostomataceae,Lophiostoma
Lophiostoma_multiseptatum,Lophiostoma,Lophiostoma_multiseptatum
SH180716.07FU,Lophiostoma_multiseptatum,SH180716.07FU
Inocybe_lacera,Inocybe,Inocybe_lacera
SH201232.07FU,Inocybe_lacera,SH201232.07FU
Russulales,Agaricomycetes,Russulales
Russulaceae,Russulales,Russulaceae
Russula,Russulaceae,Russula
Russula_ochroleuca,Russula,Russula_ochroleuca
SH190469.07FU,Russula_ochroleuca,SH190469.07FU
Cortinariaceae,Agaricales,Cortinariaceae
Cortinarius,Cortinariaceae,Cortinarius
Cortinarius_obtusus,Cortinarius,Cortinarius_obtusus
SH222454.07FU,Cortinarius_obtusus,SH222454.07FU
SH023339.07FU,Chaetothyriales_sp,SH023339.07FU
Tomentella_sp,Tomentella,Tomentella_sp
SH217476.07FU,Tomentella_sp,SH217476.07FU
SH019983.07FU,Archaeorhizomyces_sp,SH019983.07FU
SH208589.07FU,Chaetothyriales_sp,SH208589.07FU
Pleosporaceae,Pleosporales,Pleosporaceae
Alternaria,Pleosporaceae,Alternaria
Alternaria_tenuissima,Alternaria,Alternaria_tenuissima
SH028255.07FU,Alternaria_tenuissima,SH028255.07FU
Pucciniomycetes,Basidiomycota,Pucciniomycetes
Pucciniales,Pucciniomycetes,Pucciniales
Pucciniastraceae,Pucciniales,Pucciniastraceae
Melampsoridium,Pucciniastraceae,Melampsoridium
Melampsoridium_betulinum,Melampsoridium,Melampsoridium_betulinum
SH217529.07FU,Melampsoridium_betulinum,SH217529.07FU
SH023326.07FU,Chaetothyriales_sp,SH023326.07FU
Russula_cerolens,Russula,Russula_cerolens
SH220816.07FU,Russula_cerolens,SH220816.07FU
Pezizomycotina_cls_Incertae_sedis,Ascomycota,Pezizomycotina_cls_Incertae_sedis
Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis
Pezizomycotina_fam_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis
Heydenia,Pezizomycotina_fam_Incertae_sedis,Heydenia
Heydenia_alpina,Heydenia,Heydenia_alpina
SH213755.07FU,Heydenia_alpina,SH213755.07FU
SH203830.07FU,Archaeorhizomyces_sp,SH203830.07FU
Cladophialophora,Herpotrichiellaceae,Cladophialophora
Cladophialophora_minutissima,Cladophialophora,Cladophialophora_minutissima
SH193233.07FU,Cladophialophora_minutissima,SH193233.07FU
Russula_cyanoxantha,Russula,Russula_cyanoxantha
SH186707.07FU,Russula_cyanoxantha,SH186707.07FU
Piloderma,Atheliaceae,Piloderma
Piloderma_sphaerosporum,Piloderma,Piloderma_sphaerosporum
SH196824.07FU,Piloderma_sphaerosporum,SH196824.07FU
Inocybe_acuta,Inocybe,Inocybe_acuta
SH196059.07FU,Inocybe_acuta,SH196059.07FU
SH211705.07FU,Helotiales_sp,SH211705.07FU
Clavulinopsis_helvola,Clavulinopsis,Clavulinopsis_helvola
SH197801.07FU,Clavulinopsis_helvola,SH197801.07FU
Hypocreales,Sordariomycetes,Hypocreales
unidentified,Hypocreales,unidentified
Hypocreales_sp,unidentified,Hypocreales_sp
SH491958.07FU,Hypocreales_sp,SH491958.07FU
Russula_nigricans,Russula,Russula_nigricans
SH219259.07FU,Russula_nigricans,SH219259.07FU
