assertionID,geneticSequenceID,effectiveDate,type,value,valueNumeric,unit
12664,12658,,reads,,519.0,unit
12664,12658,,relativeAbundance,,1.222413265185953,percentage
12671,12665,,reads,,111.0,unit
12671,12665,,relativeAbundance,,0.2321690023007739,percentage
12678,12672,,reads,,118.0,unit
12678,12672,,relativeAbundance,,0.6272258544623399,percentage
12685,12679,,reads,,217.0,unit
12685,12679,,relativeAbundance,,0.4049716333233801,percentage
12692,12686,,reads,,42.0,unit
12692,12686,,relativeAbundance,,0.13708914058164964,percentage
12699,12693,,reads,,66.0,unit
12699,12693,,relativeAbundance,,0.25239970935791045,percentage
12706,12700,,reads,,484.0,unit
12706,12700,,relativeAbundance,,0.80812128497963,percentage
12713,12707,,reads,,222.0,unit
12713,12707,,relativeAbundance,,0.33292842038961623,percentage
12720,12714,,reads,,963.0,unit
12720,12714,,relativeAbundance,,1.2318201005410798,percentage
12727,12721,,reads,,2936.0,unit
12727,12721,,relativeAbundance,,4.224095761516991,percentage
12734,12728,,reads,,501.0,unit
12734,12728,,relativeAbundance,,2.1870089051859614,percentage
12741,12735,,reads,,3130.0,unit
12741,12735,,relativeAbundance,,5.658705910003073,percentage
12748,12742,,reads,,1587.0,unit
12748,12742,,relativeAbundance,,3.063588278444848,percentage
12755,12749,,reads,,2302.0,unit
12755,12749,,relativeAbundance,,6.5584045584045585,percentage
12762,12756,,reads,,483.0,unit
12762,12756,,relativeAbundance,,2.596076323568933,percentage
12769,12763,,reads,,295.0,unit
12769,12763,,relativeAbundance,,0.6669982816315456,percentage
12776,12770,,reads,,18.0,unit
12776,12770,,relativeAbundance,,0.03440103967586576,percentage
12783,12777,,reads,,41.0,unit
12783,12777,,relativeAbundance,,0.5116046917893686,percentage
12790,12784,,reads,,4785.0,unit
12790,12784,,relativeAbundance,,9.093327758879536,percentage
12797,12791,,reads,,5584.0,unit
12797,12791,,relativeAbundance,,11.464471225901821,percentage
12804,12798,,reads,,2349.0,unit
12804,12798,,relativeAbundance,,9.813259806993358,percentage
12811,12805,,reads,,412.0,unit
12811,12805,,relativeAbundance,,0.7936202180529337,percentage
12818,12812,,reads,,9045.0,unit
12818,12812,,relativeAbundance,,12.653712175263356,percentage
12825,12819,,reads,,235.0,unit
12825,12819,,relativeAbundance,,0.6989263301906433,percentage
12832,12826,,reads,,44.0,unit
12832,12826,,relativeAbundance,,0.14594666312856575,percentage
12839,12833,,reads,,49.0,unit
12839,12833,,relativeAbundance,,0.057233630013782795,percentage
12846,12840,,reads,,2213.0,unit
12846,12840,,relativeAbundance,,9.004720052083334,percentage
12853,12847,,reads,,184.0,unit
12853,12847,,relativeAbundance,,0.526692428796336,percentage
12860,12854,,reads,,3578.0,unit
12860,12854,,relativeAbundance,,14.268623384909874,percentage
12867,12861,,reads,,316.0,unit
12867,12861,,relativeAbundance,,0.6358532708211764,percentage
12874,12868,,reads,,922.0,unit
12874,12868,,relativeAbundance,,2.479094404560243,percentage
12881,12875,,reads,,159.0,unit
12881,12875,,relativeAbundance,,1.7105970952124798,percentage
12888,12882,,reads,,331.0,unit
12888,12882,,relativeAbundance,,4.46211916958749,percentage
12895,12889,,reads,,807.0,unit
12895,12889,,relativeAbundance,,3.2477462974887317,percentage
12902,12896,,reads,,96.0,unit
12902,12896,,relativeAbundance,,0.29261155815654716,percentage
12909,12903,,reads,,181.0,unit
12909,12903,,relativeAbundance,,0.19114603134372493,percentage
12916,12910,,reads,,2331.0,unit
12916,12910,,relativeAbundance,,6.164057541781257,percentage
12923,12917,,reads,,295.0,unit
12923,12917,,relativeAbundance,,0.3964307791544602,percentage
12930,12924,,reads,,27.0,unit
12930,12924,,relativeAbundance,,0.05124701059104886,percentage
12937,12931,,reads,,3205.0,unit
12937,12931,,relativeAbundance,,3.4513579289698693,percentage
12944,12938,,reads,,411.0,unit
12944,12938,,relativeAbundance,,0.5980878650737059,percentage
12951,12945,,reads,,109.0,unit
12951,12945,,relativeAbundance,,0.6579344479990342,percentage
12958,12952,,reads,,25152.0,unit
12958,12952,,relativeAbundance,,26.95357709288868,percentage
12965,12959,,reads,,2092.0,unit
12965,12959,,relativeAbundance,,3.0280660616324346,percentage
12972,12966,,reads,,3.0,unit
12972,12966,,relativeAbundance,,0.0036922168069709054,percentage
12979,12973,,reads,,175.0,unit
12979,12973,,relativeAbundance,,0.6984076306022269,percentage
12986,12980,,reads,,37.0,unit
12986,12980,,relativeAbundance,,0.11801479969379944,percentage
12993,12987,,reads,,485.0,unit
12993,12987,,relativeAbundance,,1.2825259149566322,percentage
13000,12994,,reads,,27.0,unit
13000,12994,,relativeAbundance,,0.06982698425013577,percentage
13007,13001,,reads,,70.0,unit
13007,13001,,relativeAbundance,,0.5288606829857964,percentage
13014,13008,,reads,,2738.0,unit
13014,13008,,relativeAbundance,,4.9130614222397675,percentage
13021,13015,,reads,,71.0,unit
13021,13015,,relativeAbundance,,0.4548949256791389,percentage
13028,13022,,reads,,390.0,unit
13028,13022,,relativeAbundance,,0.8157289270027192,percentage
13035,13029,,reads,,948.0,unit
13035,13029,,relativeAbundance,,1.3639110292636607,percentage
13042,13036,,reads,,2186.0,unit
13042,13036,,relativeAbundance,,3.026610915736715,percentage
13049,13043,,reads,,874.0,unit
13049,13043,,relativeAbundance,,1.1140002039359642,percentage
13056,13050,,reads,,327.0,unit
13056,13050,,relativeAbundance,,0.9932567887734646,percentage
13063,13057,,reads,,884.0,unit
13063,13057,,relativeAbundance,,1.1758602801314197,percentage
13070,13064,,reads,,3562.0,unit
13070,13064,,relativeAbundance,,4.160534492022332,percentage
13077,13071,,reads,,9538.0,unit
13077,13071,,relativeAbundance,,15.746029649684683,percentage
13084,13078,,reads,,75.0,unit
13084,13078,,relativeAbundance,,0.36062893686589415,percentage
13091,13085,,reads,,495.0,unit
13091,13085,,relativeAbundance,,1.3659317310080301,percentage
13098,13092,,reads,,193.0,unit
13098,13092,,relativeAbundance,,0.5124120536306916,percentage
13105,13099,,reads,,36.0,unit
13105,13099,,relativeAbundance,,0.1166294100495675,percentage
13112,13106,,reads,,70.0,unit
13112,13106,,relativeAbundance,,0.20088965418280957,percentage
13119,13113,,reads,,718.0,unit
13119,13113,,relativeAbundance,,5.619912335629305,percentage
13126,13120,,reads,,13.0,unit
13126,13120,,relativeAbundance,,0.06405834236720213,percentage
13133,13127,,reads,,136.0,unit
13133,13127,,relativeAbundance,,0.5470855625729112,percentage
13140,13134,,reads,,25.0,unit
13140,13134,,relativeAbundance,,0.035318217136398954,percentage
13147,13141,,reads,,49.0,unit
13147,13141,,relativeAbundance,,0.07868073285482602,percentage
13154,13148,,reads,,654.0,unit
13154,13148,,relativeAbundance,,1.5022740846235128,percentage
13161,13155,,reads,,964.0,unit
13161,13155,,relativeAbundance,,2.9348190093463633,percentage
13168,13162,,reads,,287.0,unit
13168,13162,,relativeAbundance,,0.4194128220491312,percentage
13175,13169,,reads,,34.0,unit
13175,13169,,relativeAbundance,,0.051170910842212994,percentage
13182,13176,,reads,,623.0,unit
13182,13176,,relativeAbundance,,1.8826871354749026,percentage
13189,13183,,reads,,177.0,unit
13189,13183,,relativeAbundance,,0.1906054144860115,percentage
13196,13190,,reads,,8.0,unit
13196,13190,,relativeAbundance,,0.027290714334447703,percentage
13203,13197,,reads,,139.0,unit
13203,13197,,relativeAbundance,,0.21561753482455867,percentage
13210,13204,,reads,,3.0,unit
13210,13204,,relativeAbundance,,0.009146899201170802,percentage
13217,13211,,reads,,223.0,unit
13217,13211,,relativeAbundance,,0.37807503857043556,percentage
13224,13218,,reads,,97.0,unit
13224,13218,,relativeAbundance,,0.15582829970440817,percentage
13231,13225,,reads,,68.0,unit
13231,13225,,relativeAbundance,,0.12690355329949238,percentage
13238,13232,,reads,,121.0,unit
13238,13232,,relativeAbundance,,0.3949472859614192,percentage
13245,13239,,reads,,4.0,unit
13245,13239,,relativeAbundance,,0.015296952082297602,percentage
