digitalEntityID,digitalEntityType,accessURI,webStatement
19196,sequence,,
19203,sequence,,
19210,sequence,,
19217,sequence,,
19224,sequence,,
19231,sequence,,
19238,sequence,,
19245,sequence,,
19252,sequence,,
19259,sequence,,
19266,sequence,,
19273,sequence,,
19280,sequence,,
19287,sequence,,
19294,sequence,,
19301,sequence,,
19308,sequence,,
19315,sequence,,
19322,sequence,,
19329,sequence,,
19336,sequence,,
19343,sequence,,
19350,sequence,,
19357,sequence,,
19364,sequence,,
19371,sequence,,
19378,sequence,,
19385,sequence,,
19392,sequence,,
19399,sequence,,
19406,sequence,,
19413,sequence,,
19420,sequence,,
19427,sequence,,
19434,sequence,,
19441,sequence,,
19448,sequence,,
19455,sequence,,
19462,sequence,,
19469,sequence,,
19476,sequence,,
19483,sequence,,
19490,sequence,,
19497,sequence,,
19504,sequence,,
19511,sequence,,
19518,sequence,,
19525,sequence,,
19532,sequence,,
19539,sequence,,
19546,sequence,,
19553,sequence,,
19560,sequence,,
19567,sequence,,
19574,sequence,,
19581,sequence,,
19588,sequence,,
19595,sequence,,
19602,sequence,,
19609,sequence,,
19616,sequence,,
19623,sequence,,
19630,sequence,,
19637,sequence,,
19644,sequence,,
19651,sequence,,
19658,sequence,,
19665,sequence,,
19672,sequence,,
19679,sequence,,
19686,sequence,,
19693,sequence,,
19700,sequence,,
19707,sequence,,
19714,sequence,,
19721,sequence,,
19728,sequence,,
19735,sequence,,
19742,sequence,,
19749,sequence,,
19756,sequence,,
19763,sequence,,
19770,sequence,,
19777,sequence,,
19784,sequence,,
19791,sequence,,
19798,sequence,,
19805,sequence,,
19812,sequence,,
19819,sequence,,
19826,sequence,,
19833,sequence,,
19840,sequence,,
19847,sequence,,
19854,sequence,,
19861,sequence,,
19868,sequence,,
19875,sequence,,
19882,sequence,,
19889,sequence,,
19896,sequence,,
19903,sequence,,
19910,sequence,,
19917,sequence,,
19924,sequence,,
19931,sequence,,
19938,sequence,,
19945,sequence,,
19952,sequence,,
19959,sequence,,
19966,sequence,,
19973,sequence,,
19980,sequence,,
19987,sequence,,
19994,sequence,,
20001,sequence,,
20008,sequence,,
20015,sequence,,
20022,sequence,,
20029,sequence,,
20036,sequence,,
20043,sequence,,
20050,sequence,,
20057,sequence,,
20064,sequence,,
20071,sequence,,
20078,sequence,,
20085,sequence,,
20092,sequence,,
20099,sequence,,
20106,sequence,,
20113,sequence,,
20120,sequence,,
20127,sequence,,
20134,sequence,,
20141,sequence,,
20148,sequence,,
20155,sequence,,
20162,sequence,,
20169,sequence,,
20176,sequence,,
20183,sequence,,
20190,sequence,,
20197,sequence,,
20204,sequence,,
20211,sequence,,
20218,sequence,,
20225,sequence,,
20232,sequence,,
20239,sequence,,
20246,sequence,,
20253,sequence,,
20260,sequence,,
20267,sequence,,
20274,sequence,,
20281,sequence,,
20288,sequence,,
20295,sequence,,
20302,sequence,,
20309,sequence,,
20316,sequence,,
20323,sequence,,
20330,sequence,,
20337,sequence,,
20344,sequence,,
20351,sequence,,
20358,sequence,,
20365,sequence,,
20372,sequence,,
20379,sequence,,
20386,sequence,,
20393,sequence,,
20400,sequence,,
20407,sequence,,
20414,sequence,,
20421,sequence,,
20428,sequence,,
20435,sequence,,
20442,sequence,,
20449,sequence,,
20456,sequence,,
20463,sequence,,
20470,sequence,,
20477,sequence,,
20484,sequence,,
20491,sequence,,
20498,sequence,,
20505,sequence,,
20512,sequence,,
20519,sequence,,
20526,sequence,,
20533,sequence,,
20540,sequence,,
20547,sequence,,
20554,sequence,,
20561,sequence,,
20568,sequence,,
20575,sequence,,
20582,sequence,,
20589,sequence,,
20596,sequence,,
20603,sequence,,
20610,sequence,,
20617,sequence,,
20624,sequence,,
20631,sequence,,
20638,sequence,,
20645,sequence,,
20652,sequence,,
20659,sequence,,
20666,sequence,,
20673,sequence,,
20680,sequence,,
20687,sequence,,
20694,sequence,,
20701,sequence,,
20708,sequence,,
20715,sequence,,
20722,sequence,,
20729,sequence,,
20736,sequence,,
20743,sequence,,
20750,sequence,,
20757,sequence,,
20764,sequence,,
20771,sequence,,
20778,sequence,,
20785,sequence,,
20792,sequence,,
20799,sequence,,
20806,sequence,,
20813,sequence,,
20820,sequence,,
20827,sequence,,
20834,sequence,,
20841,sequence,,
20848,sequence,,
20855,sequence,,
20862,sequence,,
20869,sequence,,
20876,sequence,,
20883,sequence,,
20890,sequence,,
20897,sequence,,
20904,sequence,,
20911,sequence,,
20918,sequence,,
20925,sequence,,
20932,sequence,,
20939,sequence,,
20946,sequence,,
20953,sequence,,
20960,sequence,,
20967,sequence,,
20974,sequence,,
20981,sequence,,
20988,sequence,,
20995,sequence,,
21002,sequence,,
21009,sequence,,
21016,sequence,,
21023,sequence,,
21030,sequence,,
21037,sequence,,
21044,sequence,,
21051,sequence,,
21058,sequence,,
21065,sequence,,
